text_unit_id,1st_element
論語集註大全-八佾-03-01,"<canon id=""論語-八佾-03-01"">○子曰：「人而不仁，如禮何？人而不仁，如樂何？」</canon>"
論語集註大全-八佾-04-01,"<canon id=""論語-八佾-04-01"">○林放問禮之本。</canon>"
論語集註大全-八佾-04-02,"<canon id=""論語-八佾-04-02"">子曰：「大哉問！</canon>"
論語集註大全-八佾-04-03,"<canon id=""論語-八佾-04-03"">禮，與其奢也，寧儉；喪，與其易也，寧戚。」</canon>"
論語集註大全-八佾-05-01,"<canon id=""論語-八佾-05-01"">○子曰：「夷狄之有君，不如諸夏之亡也。」</canon>"
論語集註大全-八佾-06-01,"<canon id=""論語-八佾-06-01"">○季氏旅於泰山。子謂冉有曰：「女弗能救與？」對曰：「不能。」子曰：「嗚乎！曾謂泰山不如林放乎？」</canon>"
論語集註大全-八佾-07-01,"<canon id=""論語-八佾-07-01"">○子曰：「君子無所爭，必也射乎！揖讓而升，下而飮，其爭也君子。」</canon>"
論語集註大全-八佾-08-01,"<canon id=""論語-八佾-08-01"">○子夏問曰：「『巧笑倩兮，美目盼兮，素以爲絢兮』，何爲也？」</canon>"
論語集註大全-八佾-08-02,"<canon id=""論語-八佾-08-02"">子曰：「繪事後素。」</canon>"
論語集註大全-八佾-08-03,"<canon id=""論語-八佾-08-03"">曰：「禮後乎？」子曰：「起予者商也！始可與言詩已矣。」</canon>"
論語集註大全-八佾-09-01,"<canon id=""論語-八佾-09-01"">○子曰：「夏禮，吾能言之，杞不足徵也；殷禮，吾能言之，宋不足徵也。文獻不足故也，足則吾能徵之矣。」</canon>"
論語集註大全-八佾-10-01,"<canon id=""論語-八佾-10-01"">○子曰：「禘自旣灌而往者，吾不欲觀之矣。」</canon>"
論語集註大全-八佾-11-01,"<canon id=""論語-八佾-11-01"">○或問禘之說。子曰：「不知也。知其說者之於天下也，其如示諸斯乎！」指其掌。</canon>"
論語集註大全-八佾-12-01,"<canon id=""論語-八佾-12-01"">○祭如在，祭神如神在。</canon>"
論語集註大全-八佾-12-02,"<canon id=""論語-八佾-12-02"">子曰：「吾不與祭，如不祭。」</canon>"
論語集註大全-八佾-13-01,"<canon id=""論語-八佾-13-01"">○王孫賈問曰：「與其媚於奧，寧媚於竈，何謂也？」</canon>"
論語集註大全-八佾-13-02,"<canon id=""論語-八佾-13-02"">子曰：「不然。獲罪於天，無所禱也。」</canon>"
論語集註大全-八佾-14-01,"<canon id=""論語-八佾-14-01"">○子曰：「周監於二代，郁郁乎文哉！吾從周。」</canon>"
論語集註大全-八佾-15-01,"<canon id=""論語-八佾-15-01"">○子入大廟，每事問。或曰：「孰謂鄹人之子知禮乎？入大廟，每事問。」子聞之曰：「是禮也。」</canon>"
論語集註大全-八佾-16-01,"<canon id=""論語-八佾-16-01"">○子曰：「射不主皮，爲力不同科，古之道也。」</canon>"
論語集註大全-八佾-17-01,"<canon id=""論語-八佾-17-01"">○子貢欲去告朔之餼羊。</canon>"
論語集註大全-八佾-17-02,"<canon id=""論語-八佾-17-02"">子曰：「賜也，爾愛其羊，我愛其禮。」</canon>"
論語集註大全-八佾-18-01,"<canon id=""論語-八佾-18-01"">○子曰：「事君盡禮，人以爲諂也。」</canon>"
論語集註大全-八佾-19-01,"<canon id=""論語-八佾-19-01"">○定公問：「君使臣，臣事君，如之何？」孔子對曰：「君使臣以禮，臣事君以忠。」</canon>"
論語集註大全-八佾-20-01,"<canon id=""論語-八佾-20-01"">○子曰：「關雎，樂而不淫，哀而不傷。」</canon>"
論語集註大全-八佾-21-01,"<canon id=""論語-八佾-21-01"">○哀公問社於宰我。宰我對曰：「夏后氏以松，殷人以栢，周人以栗，曰使民戰栗。」</canon>"
論語集註大全-八佾-21-02,"<canon id=""論語-八佾-21-02"">子聞之曰：「成事不說，遂事不諫，旣往不咎。」</canon>"
論語集註大全-八佾-22-01,"<canon id=""論語-八佾-22-01"">○子曰：「管仲之器小哉！」</canon>"
論語集註大全-八佾-22-02,"<canon id=""論語-八佾-22-02"">或曰：「管仲儉乎？」曰：「管氏有三歸，官事不攝，焉得儉？」</canon>"
論語集註大全-八佾-22-03,"<canon id=""論語-八佾-22-03"">「然則管仲知禮乎？」曰：「邦君樹塞門，管氏亦樹塞門；邦君爲兩君之好，有反坫，管氏亦有反坫。管氏而知禮，孰不知禮？」</canon>"
論語集註大全-八佾-23-01,"<canon id=""論語-八佾-23-01"">○子語魯大師樂，曰：「樂其可知也：始作，翕如也；從之，純如也，皦如也，繹如也，以成。」</canon>"
